Modified,Initial,Delta
8.336199999999995,6.478355555555559,1.857844444444435
8.0988,6.523031111111113,1.5757688888888879
8.025466666666677,6.55016111111111,1.4753055555555674
7.6339444444444435,6.165019047619048,1.4689253968253952
6.001322222222225,4.8141780712466655,1.1871441509755591
7.584805555555554,6.447150000000004,1.1376555555555496
7.717866666666667,6.58838666666667,1.1294799999999965
7.984888888888886,6.868148888888894,1.116739999999992
7.901999999999994,6.801855555555558,1.1001444444444362
8.090166666666656,7.021488888888886,1.0686777777777703
6.740166666666667,5.6761852466200065,1.0639814200466606
8.190133333333335,7.152733333333334,1.0374000000000017
7.354950000000008,6.319131111111111,1.0358188888888966
7.568711111111118,6.690622222222227,0.8780888888888914
7.664533333333334,6.790600000000004,0.8739333333333299
6.99573333333334,6.1791111111111094,0.8166222222222306
7.828333333333335,7.064222222222223,0.7641111111111121
7.555199999999998,6.804708888888892,0.7504911111111063
7.678666666666663,6.9324777777777795,0.7461888888888835
7.672866666666667,6.935266666666668,0.7375999999999987
7.8392777777777685,7.110233333333331,0.7290444444444377
7.842266666666666,7.116827777777779,0.7254388888888874
7.158533333333339,6.434200000000001,0.7243333333333384
7.2922666666666585,6.602704444444445,0.6895622222222135
6.414799999999993,5.752399999999994,0.662399999999999
7.611866666666657,6.965966666666663,0.6458999999999939
7.145066666666673,6.518933333333333,0.6261333333333399
7.570666666666669,6.993865555555555,0.5768011111111138
7.162594444444441,6.598016666666668,0.5645777777777727
7.5110822222222255,6.947104444444446,0.5639777777777795
6.046600000000002,5.485820000000003,0.5607799999999994
7.326466666666665,6.776177777777778,0.550288888888887
7.3117333333333425,6.772233333333334,0.5395000000000083
7.662533333333336,7.13115555555556,0.5313777777777755
7.112733333333331,6.586066666666669,0.526666666666662
7.08913333333334,6.597000000000005,0.4921333333333351
7.040600000000007,6.55746666666667,0.4831333333333365
7.824933333333318,7.35286666666667,0.472066666666648
7.998199999999994,7.535816666666666,0.46238333333332804
6.849566666666674,6.388968888888891,0.46059777777778343
7.390666666666669,6.957212222222223,0.4334544444444459
7.521266666666667,7.088599999999995,0.4326666666666723
7.086306666666666,6.659122222222222,0.42718444444444437
6.790933333333336,6.367793333333335,0.42314000000000096
7.929733333333334,7.5089333333333315,0.4208000000000025
7.611866666666657,7.19121111111111,0.42065555555554734
7.775866666666672,7.365600000000009,0.4102666666666632
6.436466666666669,6.039066666666666,0.39740000000000286
7.159066666666666,6.762019391606663,0.3970472750600029
6.740166666666667,6.343683333333331,0.39648333333333596
7.844200000000003,7.451866666666674,0.39233333333332965
7.4254,7.036666666666665,0.3887333333333345
7.319983333333327,6.933800000000002,0.38618333333332444
6.779839999999992,6.407226666666665,0.37261333333332747
6.921533333333338,6.557066666666674,0.3644666666666643
7.871977777777782,7.509044444444445,0.3629333333333369
8.647266666666669,8.28766666666667,0.3595999999999986
7.421400000000005,7.0640111111111095,0.3573888888888952
7.3756666666666675,7.029633333333331,0.3460333333333363
7.192200000000006,6.861211111111112,0.33098888888889366
7.1630666666666665,6.838066666666665,0.32500000000000107
7.269566666666666,6.950233333333337,0.31933333333332925
6.545333333333324,6.227777777777778,0.31755555555554604
7.146883333333331,6.8298777777777815,0.3170055555555491
6.790933333333336,6.474400000000001,0.3165333333333349
6.746533333333333,6.435294444444448,0.3112388888888846
7.44822666666667,7.141899999999998,0.3063266666666724
7.163844444444446,6.8585277777777796,0.30531666666666624
6.794050000000002,6.489713650793654,0.30433634920634844
7.619466666666666,7.319533333333337,0.29993333333332917
7.799960000000006,7.5065333333333335,0.2934266666666723
7.372161111111107,7.084200000000004,0.28796111111110356
6.900566666666668,6.617883333333338,0.2826833333333303
7.1925777777777755,6.916899999999999,0.27567777777777636
7.10457777777778,6.830797142857145,0.27378063492063465
7.166933333333332,6.899140000000002,0.26779333333333
6.946733333333342,6.682544444444446,0.2641888888888966
7.3001999999999985,7.041622222222225,0.2585777777777736
6.805533333333333,6.55156492063492,0.25396841269841275
7.261933333333333,7.008555555555554,0.2533777777777795
7.1630666666666665,6.909833333333336,0.25323333333333053
6.938166666666657,6.6907888888888865,0.24737777777777037
7.0522666666666645,6.8158266666666645,0.23643999999999998
6.4441777777777745,6.210846666666667,0.2333311111111076
7.451800000000006,7.221644444444442,0.2301555555555641
7.310600000000004,7.089323809523811,0.2212761904761935
7.565999999999997,7.345900000000003,0.2200999999999942
7.200633333333333,6.987099999999999,0.21353333333333424
6.861922222222225,6.649399999999999,0.21252222222222628
6.796644444444448,6.58442222222222,0.21222222222222786
6.7309444444444555,6.52158327135556,0.20936117308889557
7.671644444444451,7.46554666666667,0.2060977777777806
7.24263333333333,7.04513888888889,0.1974944444444402
6.761058333333335,6.56492222222222,0.19613611111111506
7.382978888888891,7.186900000000002,0.1960788888888887
6.362066666666669,6.1769,0.18516666666666914
6.980453333333339,6.79866666666667,0.1817866666666692
7.1517666666666715,6.974277777777779,0.17748888888889258
7.222033333333335,7.054657142857148,0.1673761904761868
7.033133333333344,6.866548412698412,0.16658492063493213
7.220691111111111,7.056488888888892,0.1642022222222188
