Modified,Initial,Delta
6.740166666666667,4.98444865414,1.7557180125266667
7.984888888888886,6.553282222222225,1.431606666666661
8.27720000000001,6.852022222222222,1.4251777777777876
7.881666666666673,6.493897777777782,1.3877688888888908
7.881666666666673,6.493897777777782,1.3877688888888908
8.360466666666664,7.151544444444443,1.2089222222222205
7.026400000000005,5.821992902620006,1.204407097379999
7.697266666666669,6.555222222222227,1.1420444444444424
8.336199999999995,7.288200000000002,1.047999999999993
7.714066666666657,6.696516666666666,1.017549999999991
6.092000000000005,5.080944444444451,1.0110555555555543
6.7884,5.813523791471115,0.9748762085288849
6.132800000000003,5.185006799459998,0.9477932005400049
7.2719888888888935,6.359167777777783,0.9128211111111106
7.659453333333335,6.754733333333334,0.9047200000000011
7.4876166666666695,6.592755555555551,0.8948611111111182
7.471355555555556,6.5879476190476245,0.8834079365079317
7.225822222222229,6.367260000000002,0.8585622222222273
7.60286666666667,6.773906666666666,0.8289600000000039
7.837888888888885,7.0599666666666625,0.7779222222222222
7.329999999999994,6.555563809523807,0.7744361904761865
6.860259391606666,6.113427777777771,0.7468316138288955
7.852333333333338,7.107546666666665,0.7447866666666725
7.222033333333335,6.505140555555557,0.7168927777777778
6.934466666666665,6.232524738271112,0.7019419283955521
7.997644444444447,7.2994444444444415,0.6982000000000053
7.6126000000000005,6.949783333333332,0.6628166666666688
6.853333333333327,6.193933333333334,0.6593999999999935
7.021866666666663,6.380707044320001,0.6411596223466622
7.152133333333333,6.5364305555555555,0.615702777777777
7.451800000000006,6.845816666666668,0.605983333333338
7.822800000000002,7.228986666666672,0.5938133333333298
7.861533333333335,7.289876666666672,0.5716566666666631
7.211266666666667,6.641833333333335,0.5694333333333317
7.576593650793649,7.041833333333332,0.534760317460317
7.697266666666669,7.179600000000005,0.5176666666666643
7.67006666666667,7.182066666666671,0.48799999999999866
6.984911111111116,6.508496666666672,0.47641444444444403
7.094255555555556,6.618276031746035,0.4759795238095208
7.143266666666666,6.671399999999999,0.4718666666666671
6.981083333333334,6.512600000000003,0.4684833333333316
6.995600000000007,6.531413333333333,0.46418666666667363
7.108200000000009,6.666450000000005,0.4417500000000043
7.147767777777776,6.712502222222227,0.43526555555554935
6.876266666666673,6.4496,0.42666666666667297
7.6401333333333366,7.223616666666668,0.4165166666666682
6.747666666666673,6.334982222222221,0.4126844444444515
7.4407111111111135,7.0292999999999966,0.41141111111111694
7.609265000000001,7.2100888888888885,0.39917611111111206
6.92654,6.532763888888888,0.3937761111111122
7.223666666666669,6.831484444444444,0.39218222222222554
7.858666666666664,7.468166666666668,0.39049999999999585
7.837888888888885,7.45723333333334,0.38065555555554464
7.724666666666665,7.355444444444445,0.3692222222222199
6.7884,6.421700000000001,0.3666999999999989
6.771066666666673,6.405066666666671,0.3660000000000023
6.946733333333342,6.597853333333337,0.34888000000000563
7.225822222222229,6.880495555555556,0.345326666666673
6.915863333333337,6.577888658148892,0.33797467518444524
7.494299999999998,7.15655555555556,0.3377444444444384
6.620259999999999,6.284733333333336,0.335526666666663
8.036333333333337,7.709333333333339,0.3269999999999982
6.997311111111117,6.677200000000003,0.3201111111111139
7.385333333333332,7.066666666666664,0.318666666666668
7.413711111111111,7.098288888888889,0.3154222222222218
7.494299999999998,7.179633333333336,0.3146666666666622
7.434622222222221,7.123666666666665,0.3109555555555561
7.800133333333336,7.496,0.30413333333333537
7.135666666666665,6.835533333333334,0.3001333333333305
6.680666666666668,6.3903666666666705,0.29029999999999756
7.117466666666664,6.840866666666668,0.2765999999999966
6.850155555555555,6.5786000000000024,0.2715555555555529
7.053133333333337,6.7868355555555615,0.2662977777777753
7.172666666666658,6.90806666666667,0.2645999999999882
7.486599999999997,7.236799999999997,0.24979999999999958
6.876066666666667,6.631333333333333,0.24473333333333436
7.05533333333333,6.813066666666662,0.24226666666666752
6.131077347326667,5.8938961132733345,0.2371812340533328
7.094255555555556,6.8588434920634915,0.23541206349206423
7.662533333333336,7.433333333333338,0.22919999999999785
6.892359999999999,6.671310000000001,0.2210499999999982
7.3117333333333425,7.092333333333336,0.21940000000000648
7.268766666666664,7.0498655555555585,0.21890111111110588
7.24263333333333,7.025866666666666,0.21676666666666478
7.471766666666666,7.258446666666669,0.21331999999999685
7.587266666666667,7.384191111111116,0.203075555555551
7.822800000000002,7.62348,0.19932000000000194
7.360922222222221,7.163766666666667,0.19715555555555397
7.181877777777776,6.9849,0.19697777777777592
5.865185219140004,5.67249768970635,0.19268752943365453
6.876266666666673,6.686900000000008,0.18936666666666557
7.06892222222223,6.880466666666664,0.18845555555556537
6.883986666666665,6.695850000000001,0.18813666666666418
6.038199999999994,5.852625036186669,0.18557496381332417
7.328697777777783,7.149799999999999,0.1788977777777836
7.133250000000006,6.959483333333334,0.17376666666667173
7.055123333333331,6.891800000000002,0.16332333333332905
6.86374444444444,6.703883333333336,0.15986111111110368
7.084260000000004,6.92580555555556,0.1584544444444438
6.504401111111114,6.350155555555553,0.15424555555556108
6.8624333333333345,6.713573650793652,0.1488596825396824
7.109477777777777,6.961001111111112,0.14847666666666548
7.078899999999999,6.936388888888893,0.14251111111110593
6.823733333333343,6.691466666666669,0.1322666666666743
7.053133333333337,6.92586666666667,0.12726666666666642
6.995111111111113,6.869933333333335,0.12517777777777805
7.248353333333331,7.125266666666665,0.12308666666666657
6.951135555555553,6.82923555555556,0.12189999999999301
7.112533333333337,6.991833333333337,0.12070000000000025
7.527226666666663,7.415009999999999,0.11221666666666419
7.617583333333328,7.505707777777779,0.11187555555554862
7.926533333333332,7.816288888888888,0.1102444444444437
