Modified,Initial,Delta
6.266837724940003,3.624935855453333,2.64190186948667
6.746200000000001,4.602422222222217,2.1437777777777836
6.433923809523813,4.540926138046662,1.8929976714771515
6.191000000000005,4.602422222222217,1.5885777777777879
5.850533333333335,4.561466666666667,1.2890666666666677
6.393654444444447,5.201288412698403,1.1923660317460438
7.537466666666668,6.352000000000009,1.1854666666666587
7.314333333333336,6.138749999999994,1.1755833333333419
7.505866666666666,6.352000000000009,1.1538666666666568
8.129183333333334,7.102866666666664,1.0263166666666699
7.2361133333333285,6.218627222222227,1.0174861111111015
7.218600000000003,6.214333333333346,1.0042666666666573
7.0325666666666695,6.0464388888888845,0.986127777777785
7.294444444444443,6.3409999999999975,0.9534444444444459
6.627200000000004,5.674155555555562,0.9530444444444415
6.867305714285706,5.922766455026454,0.9445392592592521
7.608022222222223,6.722050000000005,0.8859722222222182
6.80496333333333,5.922766455026454,0.8821968783068757
6.714461383088888,5.851408216057779,0.8630531670311088
6.476249999999998,5.616799999999996,0.8594500000000016
6.0154666666666685,5.162066666666679,0.8533999999999899
7.728994444444441,6.876066666666667,0.852927777777774
7.479200000000004,6.689349206349205,0.7898507936507988
8.337333333333325,7.555533333333331,0.7817999999999934
6.783038888888894,6.001322222222225,0.7817166666666697
6.264616666666668,5.515672331466666,0.7489443352000018
7.464866666666666,6.727599999999993,0.737266666666673
6.678333333333338,5.943600000000005,0.7347333333333328
6.992800000000002,6.307453333333342,0.6853466666666597
7.619766666666666,6.9350055555555565,0.6847611111111096
7.623955555555555,6.947822222222222,0.6761333333333326
6.573468888888891,5.904138993213335,0.6693298956755553
7.393622222222223,6.733666666666674,0.6599555555555492
7.743200000000002,7.102400000000001,0.6408000000000005
7.592155555555555,6.956266666666665,0.6358888888888901
6.894933333333333,6.264800000000005,0.6301333333333288
6.278666666666666,5.661666666666677,0.6169999999999893
7.343748888888886,6.755933333333326,0.5878155555555598
7.114559999999998,6.5674600000000005,0.5470999999999977
6.583041111111115,6.0481333333333405,0.5349077777777742
7.864400000000005,7.3308000000000035,0.5336000000000016
7.02305,6.503151111111125,0.5198988888888749
7.183094444444447,6.664716666666667,0.51837777777778
6.86826666666667,6.36579999999999,0.5024666666666793
5.562092724940007,5.079600000000009,0.4824927249399984
8.017466666666673,7.5443277777777755,0.4731388888888972
7.280783333333336,6.8136,0.4671833333333355
6.778646666666669,6.326066666666674,0.4525799999999949
7.34316666666667,6.8997555555555525,0.44341111111111786
7.301583333333338,6.869366666666666,0.4322166666666716
6.867733333333334,6.435933333333332,0.43180000000000174
7.58761333333334,7.162766666666666,0.4248466666666735
6.750568888888886,6.326290317460316,0.4242785714285704
7.822066666666668,7.407066666666671,0.41499999999999737
7.076833333333331,6.664466666666667,0.41236666666666455
8.12613333333333,7.714066666666657,0.41206666666667324
6.633866666666669,6.2243298298866705,0.4095368367799983
7.362811111111112,6.956266666666665,0.4065444444444468
6.615746666666669,6.22840000000001,0.38734666666665873
6.439533333333332,6.053333333333333,0.38619999999999965
7.04105,6.668066666666673,0.37298333333332767
7.151244444444445,6.780011111111118,0.3712333333333273
6.575911111111115,6.207400000000003,0.36851111111111123
7.250933333333334,6.899466666666654,0.35146666666668036
6.973444444444445,6.6238000000000135,0.3496444444444311
7.002599999999999,6.656599999999997,0.34600000000000186
7.9512888888888895,7.611866666666657,0.3394222222222325
6.428626666666667,6.091977566137571,0.3366491005290966
7.711666666666665,7.391099999999991,0.3205666666666742
7.039700000000001,6.72166666666667,0.3180333333333305
7.618666666666668,7.301355555555557,0.31731111111111066
5.809018263340002,5.4990000000000006,0.3100182633400017
6.626462222222226,6.325266666666671,0.30119555555555433
7.1313044444444476,6.843025555555558,0.28827888888888964
7.025466666666667,6.739822222222212,0.285644444444455
7.056866666666666,6.790766666666671,0.26609999999999534
6.485055555555557,6.221044603174612,0.2640109523809455
6.352923333333337,6.091977566137571,0.260945767195766
7.157399999999999,6.909466666666661,0.24793333333333845
7.306100000000006,7.061122222222225,0.2449777777777813
7.634499999999995,7.3956222222222205,0.2388777777777742
7.599733333333334,7.365533333333332,0.23420000000000218
7.267333333333331,7.038744444444443,0.22858888888888806
5.23666666666667,5.011733333333339,0.22493333333333076
7.269411111111116,7.044800000000005,0.22461111111111087
6.752635555555559,6.5343333333333335,0.21830222222222506
7.510564444444441,7.297300000000002,0.21326444444443915
6.3557455555555595,6.147733333333337,0.20801222222222293
6.899988888888888,6.700713333333338,0.1992755555555501
7.333355555555554,7.134266666666664,0.19908888888888931
7.187733333333334,6.99175555555556,0.1959777777777738
6.663400000000001,6.467866666666672,0.19553333333332912
6.5414666666666665,6.351200000000003,0.19026666666666348
7.223399999999998,7.035199999999998,0.18820000000000014
5.194975555555558,5.011733333333339,0.1832422222222192
7.0906666666666665,6.909466666666661,0.1812000000000058
6.770049999999999,6.593466666666669,0.17658333333332976
6.481550000000002,6.307453333333342,0.17409666666666013
7.472111111111114,7.302800000000005,0.1693111111111092
6.223733333333329,6.05553333333333,0.1681999999999988
6.682455555555559,6.517150000000004,0.16530555555555448
8.204622222222229,8.040822222222225,0.16380000000000372
7.034353333333332,6.875066666666656,0.15928666666667635
7.324333333333331,7.1651333333333405,0.15919999999999046
7.794643333333333,7.641666666666665,0.15297666666666832
7.435199999999996,7.285633333333333,0.1495666666666624
7.853666666666665,7.717866666666667,0.13579999999999792
7.204850000000001,7.074999999999997,0.12985000000000468
7.535200000000004,7.407066666666671,0.12813333333333343
6.86051111111111,6.7476400000000005,0.11287111111110981
6.519135555555558,6.412477777777778,0.10665777777778018
