SMILES,logP,tPSA,MW,SweetSpot
CC(=O)Nc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CCN2CCC2)CC1,4.1283,105.2,546.2478705,No
Cc1nc2c(-c3cnc[nH]3)cc(N3CCOCC3)nn2c1Nc1cccc(C(F)(F)F)c1C,4.33524,83.37,457.183793,No
CC(C)(C)NCCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1,3.9512,127.98,548.2635205,No
COc1ccc(-c2ccc3ncc4c(c3n2)n(-c2ccc(C(C)(C)C#N)cc2)c(=O)n4C)cn1,4.14418,98.62,450.1804239,No
COc1ccc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C(C)=O)CC5)c4)c3c2)cn1,3.6717,88.52,467.1957397,No
CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CCN2CCCC2)CC1,5.1224,76.1,531.2733569,No
Cn1c(CC(=O)N2CCc3c(Cl)cccc32)nc(N2CCOCC2)cc1=S,2.77139,50.6,404.1073746,No
NCC(NC(=O)c1ccc(-c2c[nH]c3ncccc23)s1)c1ccccc1,3.7212,83.8,362.1201322,Yes
C[C@@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,2.7864,99.93,398.162187,No
CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5F)cc4c32)C1,3.7697,74.41,479.233268,No
CS(=O)(=O)c1ccc(C(=O)N2CCOc3ccc(-c4ccc5nc[nH]c5c4)cc3C2)cc1,3.6682,92.36,447.1252772,No
COc1ccc(-c2ccc3ncnc(O[C@H]4CCN(C(=O)OC(C)(C)C)C4)c3c2)cc1OC,4.7022,83.01,451.210721,No
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCCC2)cc2c(=O)cc(N3CCOCC3)oc12,4.3169,75.02,483.1969628,No
Cc1cc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)no1,4.60202,110.76,435.1443728,No
