,naAromAtom,nAromBond,BCUTc-1l,BCUTc-1h,BCUTp-1h,nBondsM,SpMin1_Bhm,SpMin2_Bhm,SpMin3_Bhm,SpMin4_Bhm,SpMax1_Bhv,SpMax2_Bhv,SpMin1_Bhv,SpMax1_Bhe,SpMax3_Bhe,SpMin1_Bhe,SpMin2_Bhe,SpMin4_Bhe,SpMin6_Bhe,SpMax1_Bhp,SpMax2_Bhp,SpMax3_Bhp,SpMin1_Bhp,SpMax1_Bhi,SpMin1_Bhi,SpMin2_Bhi,nAtomP,MDEC-33,MDEN-22,MDEN-23,piPC5,piPC7,piPC8,piPC9,piPC10,TpiPC,R_TpiPCTPC,nTRing,Name
8,0,0,-0.3130436728546159,0.2567331428913268,11.633225745206115,11.0,1.9321568904833089,1.8179063959574675,1.675875100847774,1.599094299549154,3.8287480622249817,3.706130125698352,1.971311363299013,3.954105400750121,3.7506260510833767,1.8427564752227967,1.7506964704202808,1.4411058328972546,1.0438197893142038,3.8139237463610423,3.689066556894565,3.6675318853971053,1.9896209140045007,3.995641510585569,1.811728132362704,1.7106656796241144,16,9.127876987101118,1.6983813295649528,2.1122788921121742,5.817111159963203,6.3421214187211525,6.633318433280377,6.883462586413093,7.149131598557407,8.476371196895983,4.523091423185674,5.0,107.0
10,0,0,-0.3780735744200805,0.19861123349534807,11.542504377329744,7.0,1.9417496551273028,1.8380919502752469,1.6318847131963503,1.372874416517863,3.8986001289942096,3.671656971839874,1.9361402096064568,3.9522522223215764,3.618863815404021,1.8518730654383784,1.7192233309493246,1.2686844666686334,0.9110458763178736,3.930179377244902,3.676685698249408,3.4762370458592367,1.944593144233244,3.952674222097307,1.836068384545267,1.7029374719019092,16,7.383136998085741,0.0,0.0,5.525452939131784,6.115892125483033,6.398594934535207,6.618738983517219,6.836259277277068,8.207401833376355,4.110986547085202,5.0,111.0
11,0,0,-0.37810155027874703,0.4335960727400525,13.300032783066044,8.0,1.9404881056319685,1.8081470106788715,1.77730212832179,1.4858924022714668,3.9287893658203816,3.78109019651364,2.0423803841400487,4.03184330861057,3.736117451316813,1.9251632272623835,1.7896644719366843,1.4299751573559238,1.1007113802758757,4.0758667553396615,3.7965068159679216,3.5448311116228286,2.027196530761914,4.020266516637052,1.932120638842948,1.7865862506031798,14,5.957237662136893,0.727928250960776,0.9879506340125244,5.758901773877279,6.4846352356352535,6.792344427470808,7.050122520269059,7.316548177182976,8.595079730073309,5.036346691519105,3.0,109.0
12,0,0,-0.3118472240321933,0.4174106377396557,11.19462111050405,9.0,1.9635020873014064,1.9276601122714208,1.9038938639065368,1.6923401742729969,3.864971163518317,3.773792284993683,1.9974048380663028,3.963928058508315,3.7826830986401383,1.861762851966672,1.8326611458339472,1.578346960821522,1.1759116734536021,3.853659703029841,3.7604245069520736,3.6317374197528207,2.0117264978278846,4.004025301350921,1.8406278716234816,1.7966374149708093,12,8.53569307859174,0.552604724796058,2.2737154581299666,5.929589143389895,6.4085287910594975,6.650279048587422,6.955592608396298,7.243512974665482,8.561784074744113,3.3040455120101138,5.0,110.0
13,0,0,-0.3851862576234223,0.2019341249501192,11.1690144662717,9.0,1.9401367195062216,1.8192050713720984,1.7229064881629383,1.566373040095546,3.8315100509798317,3.6737913904968167,1.9913667430469304,3.932526928673192,3.6999220559666526,1.873091352164424,1.7272217937764252,1.3639239323689138,1.0325928544493,3.819587841768148,3.662673986557063,3.513552729713005,2.006745658734251,3.9711984318625113,1.8438981806889632,1.6977188365637903,21,7.981476425854307,3.7740858294382615,0.0,5.802118375377063,6.35088571671474,6.703188113240862,6.9930151229329605,7.307202314764737,8.545586265917455,5.966357308584688,3.0,106.0
14,0,0,-0.30097384686718065,0.23779583597819465,11.031514045298383,10.0,1.9362793932617453,1.886011847799373,1.7537894975267183,1.7166156198225495,3.8311834466127546,3.735075401467134,1.9474001546172977,3.959639129914133,3.7567033692407543,1.8061119672887127,1.7686675362094753,1.4973347120712228,1.2104725473601217,3.816049938855038,3.722001132343264,3.6022405711648555,1.949620171894734,4.0111920379547215,1.7771108836151543,1.72069946370203,21,9.204582998044588,3.9825537000321813,4.8250462710302475,5.9532433342877855,6.661854740545311,7.029087564149663,7.311218384419629,7.642524134232903,8.844480518460378,4.663752521856086,6.0,108.0
15,0,0,-0.3781136628939492,0.4175258628366157,13.82893789151869,11.0,1.9258844558898227,1.8778800268025748,1.8030853813715404,1.6246765089840478,4.061640807222738,3.8321640703395734,2.028398576187945,4.139957367893376,3.7729283040593464,1.9348931421210518,1.8551083611976755,1.5403814791017536,1.0419334931181337,4.1913705797104726,3.826429625651541,3.674936386826112,2.0187576028389183,4.1136849174498815,1.9581005368505249,1.837056527168744,14,7.725741653223149,0.8254818122236568,1.040041911525952,6.115892125483033,6.807934943699927,7.139660335964919,7.44716835960004,7.685703061234548,8.951699168308815,5.035877364644488,5.0,11.0
16,0,0,-0.378096541923312,0.2319708954287537,9.797352993049703,8.0,1.901482782084778,1.8507049667941795,1.734820916662689,1.4488321606691723,3.8553282541449816,3.6944417530030407,1.9491550177535804,3.932000627916024,3.625658027649731,1.8228349584751704,1.7464270662955883,1.2750128666105325,1.0189282736728764,3.848113585615558,3.672412863608754,3.4281586266361046,1.9694651946602064,3.9478488479615095,1.8022121123925048,1.7096417671813704,12,6.135779204024959,0.8254818122236568,1.040041911525952,5.4638318050256105,5.7745515455444085,6.052089168924417,5.942799375126701,6.2402758451707685,7.843848638152473,3.3627968337730865,5.0,113.0
17,0,0,-0.3780952088923749,0.23198344007203464,9.794833809058543,8.0,1.8888462043138259,1.8462953445566903,1.7338923086166798,1.3995360152123024,3.821011402784568,3.6926782271752914,1.94828337073773,3.919804299052387,3.624878918410199,1.8093668851113824,1.7433583369561625,1.2612049154515668,1.0189282736728758,3.808689535527618,3.6706359381700198,3.4272354994425545,1.9692583539167103,3.943087863218761,1.7859529931328881,1.707145058619859,12,6.135779204024959,1.313814579000539,1.0433897200488584,5.4638318050256105,5.7745515455444085,6.052089168924417,5.942799375126701,6.2402758451707685,7.843848638152473,3.3627968337730865,5.0,112.0
18,0,0,-0.3711140460074285,0.2906879880677439,9.808975110448056,10.0,1.9771534439495424,1.9030814816809372,1.627795543913306,1.4100411096341083,3.868084495695898,3.7694517348493006,1.9957753388216957,3.9382927300598656,3.609964320042662,1.9086453552254925,1.8148081913106016,1.1286027074639446,0.8511674932848059,3.8640403279536466,3.7708237787713332,3.467686828199698,1.9994680590741,3.964339217598885,1.8875273696777195,1.799273106940232,22,5.4198905900081815,0.33333333333333337,0.0,5.733341276897747,6.411818267709898,6.660575149839686,7.057036981697892,7.393263094763838,8.570733958344267,7.895209580838324,3.0,115.0
